dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,,1,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-29T01:16:07.091669
uci,,1,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-29T01:16:07.128528
uci,,1,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-29T01:16:07.158571
uci,,1,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-29T01:16:07.186875
uci,,1,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-29T01:16:07.222460
uci,,1,0.1,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:07.246113
uci,,1,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:07.271438
uci,,1,0.1,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:07.297931
uci,,1,0.1,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:07.327160
uci,,1,0.1,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:07.362155
uci,,1,0.2,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:07.385044
uci,,1,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:07.409967
uci,,1,0.2,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:07.438237
uci,,1,0.2,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:07.467820
uci,,1,0.2,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:07.502012
uci,,1,0.3,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:07.522748
uci,,1,0.3,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:07.547733
uci,,1,0.3,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:07.574490
uci,,1,0.3,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:07.605566
uci,,1,0.3,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:07.640426
uci,,1,0.4,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:07.663047
uci,,1,0.4,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:07.687392
uci,,1,0.4,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:07.713896
uci,,1,0.4,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:07.743061
uci,,1,0.4,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:07.778978
uci,,1,0.5,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:07.801360
uci,,1,0.5,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:07.824792
uci,,1,0.5,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:07.850783
uci,,1,0.5,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:07.881664
uci,,1,0.5,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:07.918761
uci,,1,0.6,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:07.940980
uci,,1,0.6,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:07.963964
uci,,1,0.6,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:07.991138
uci,,1,0.6,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:08.020651
uci,,1,0.6,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:08.056650
uci,,1,0.7,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:08.078262
uci,,1,0.7,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:08.102935
uci,,1,0.7,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:08.128635
uci,,1,0.7,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:08.159069
uci,,1,0.7,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:08.196278
uci,,1,0.8,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:08.221793
uci,,1,0.8,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:08.247551
uci,,1,0.8,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:08.273825
uci,,1,0.8,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:08.302705
uci,,1,0.8,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:08.337766
uci,,1,0.9,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:08.359604
uci,,1,0.9,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:08.384726
uci,,1,0.9,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:08.410830
uci,,1,0.9,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:08.448159
uci,,1,0.9,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:08.485983
uci,,1,1.0,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:08.512793
uci,,1,1.0,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:08.541688
uci,,1,1.0,6,0.8065,0.7829748211893147,0.7843372841240979,0.8065,2025-09-29T01:16:08.569831
uci,,1,1.0,7,0.8056666666666666,0.7823056485433,0.7832528560856211,0.8056666666666666,2025-09-29T01:16:08.598834
uci,,1,1.0,8,0.8056666666666666,0.7875812289001423,0.7852848256465347,0.8056666666666666,2025-09-29T01:16:08.633460
uci,,2,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-29T01:16:08.653567
uci,,2,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-29T01:16:08.677231
uci,,2,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-29T01:16:08.702622
uci,,2,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-29T01:16:08.729304
uci,,2,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-29T01:16:08.762255
uci,,2,0.1,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:08.785864
uci,,2,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:08.810744
uci,,2,0.1,6,0.807,0.7833766649702804,0.7849943869030244,0.807,2025-09-29T01:16:08.837791
uci,,2,0.1,7,0.8073333333333333,0.7827867951813879,0.7852872085384752,0.8073333333333333,2025-09-29T01:16:08.869116
uci,,2,0.1,8,0.8078333333333333,0.7791131676153534,0.7858563677930189,0.8078333333333333,2025-09-29T01:16:08.903565
uci,,2,0.2,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:08.925799
uci,,2,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:08.948879
uci,,2,0.2,6,0.807,0.7833766649702804,0.7849943869030244,0.807,2025-09-29T01:16:08.975747
uci,,2,0.2,7,0.8073333333333333,0.7827867951813879,0.7852872085384752,0.8073333333333333,2025-09-29T01:16:09.004778
uci,,2,0.2,8,0.8078333333333333,0.7791131676153534,0.7858563677930189,0.8078333333333333,2025-09-29T01:16:09.041283
uci,,2,0.3,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:09.063007
uci,,2,0.3,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:09.087641
uci,,2,0.3,6,0.807,0.7833766649702804,0.7849943869030244,0.807,2025-09-29T01:16:09.116260
uci,,2,0.3,7,0.8073333333333333,0.7827867951813879,0.7852872085384752,0.8073333333333333,2025-09-29T01:16:09.146445
uci,,2,0.3,8,0.8078333333333333,0.7791131676153534,0.7858563677930189,0.8078333333333333,2025-09-29T01:16:09.182149
uci,,2,0.4,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:09.205354
uci,,2,0.4,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:09.228527
uci,,2,0.4,6,0.807,0.7833766649702804,0.7849943869030244,0.807,2025-09-29T01:16:09.256254
uci,,2,0.4,7,0.8073333333333333,0.7827867951813879,0.7852872085384752,0.8073333333333333,2025-09-29T01:16:09.284579
uci,,2,0.4,8,0.8078333333333333,0.7791131676153534,0.7858563677930189,0.8078333333333333,2025-09-29T01:16:09.320896
uci,,2,0.5,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:09.343211
uci,,2,0.5,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:09.367950
uci,,2,0.5,6,0.807,0.7833766649702804,0.7849943869030244,0.807,2025-09-29T01:16:09.394361
uci,,2,0.5,7,0.8073333333333333,0.7827867951813879,0.7852872085384752,0.8073333333333333,2025-09-29T01:16:09.425666
uci,,2,0.5,8,0.8078333333333333,0.7791131676153534,0.7858563677930189,0.8078333333333333,2025-09-29T01:16:09.459781
uci,,2,0.6,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:09.482991
uci,,2,0.6,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:09.507137
uci,,2,0.6,6,0.807,0.7833766649702804,0.7849943869030244,0.807,2025-09-29T01:16:09.534259
uci,,2,0.6,7,0.8073333333333333,0.7827867951813879,0.7852872085384752,0.8073333333333333,2025-09-29T01:16:09.563797
uci,,2,0.6,8,0.8078333333333333,0.7791131676153534,0.7858563677930189,0.8078333333333333,2025-09-29T01:16:09.601122
uci,,2,0.7,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:09.623647
uci,,2,0.7,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:09.647187
uci,,2,0.7,6,0.807,0.7833766649702804,0.7849943869030244,0.807,2025-09-29T01:16:09.674566
uci,,2,0.7,7,0.8073333333333333,0.7827867951813879,0.7852872085384752,0.8073333333333333,2025-09-29T01:16:09.703787
uci,,2,0.7,8,0.8078333333333333,0.7791131676153534,0.7858563677930189,0.8078333333333333,2025-09-29T01:16:09.739528
uci,,2,0.8,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-29T01:16:09.762223
uci,,2,0.8,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-29T01:16:09.786112
uci,,2,0.8,6,0.807,0.7833766649702804,0.7849943869030244,0.807,2025-09-29T01:16:09.813288
