dataset,k,accuracy,f1_score,precision,recall
xinwang,30,0.8985183114341627,0.8518543285425183,0.8750996086470708,0.8985183114341627
xinwang,31,0.898238747553816,0.8517810039773073,0.857913593256059,0.898238747553816
xinwang,32,0.898238747553816,0.8514690992842235,0.8362314788929271,0.898238747553816
xinwang,33,0.898238747553816,0.8524836987898197,0.8581139367171595,0.898238747553816
xinwang,34,0.898238747553816,0.8506169259567532,0.8409278652703387,0.898238747553816
xinwang,35,0.8985183114341627,0.8507685535972632,0.9088197244513324,0.8985183114341627
xinwang,36,0.898238747553816,0.8527078706733336,0.8419816529783093,0.898238747553816
xinwang,37,0.8976796197931227,0.8533901367883875,0.837860426380767,0.8976796197931227
xinwang,38,0.8985183114341627,0.8507685535972632,0.9088197244513324,0.8985183114341627
xinwang,39,0.8987978753145094,0.8535447545045856,0.8714871317975675,0.8987978753145094
xinwang,40,0.8985183114341627,0.8517810039773073,0.9088197244513324,0.8985183114341627
xinwang,41,0.898238747553816,0.8526379546148101,0.8351936787192837,0.898238747553816
xinwang,42,0.898238747553816,0.8520144502322898,0.8336268846185944,0.898238747553816
xinwang,43,0.897400055912776,0.8520210774810774,0.8412779464633079,0.897400055912776
xinwang,44,0.8976796197931227,0.8506851197006965,0.830738895807389,0.8976796197931227
xinwang,45,0.898238747553816,0.8507875033624349,0.857913593256059,0.898238747553816
xinwang,46,0.8985183114341627,0.852317955666651,0.9088197244513324,0.8985183114341627
xinwang,47,0.898238747553816,0.8515493585716313,0.8510204081632653,0.898238747553816
xinwang,48,0.8985183114341627,0.8540163356855098,0.8685160511304493,0.8985183114341627
xinwang,49,0.8985183114341627,0.8546457668949337,0.9088197244513324,0.8985183114341627
xinwang,50,0.898238747553816,0.8530070551414451,0.8456029132407354,0.898238747553816
xinwang,51,0.8979591836734694,0.8509523328008084,0.8409278652703387,0.8979591836734694
xinwang,52,0.898238747553816,0.8516933368493849,0.8583145045898659,0.898238747553816
xinwang,53,0.898238747553816,0.8520620933264343,0.8383624362974362,0.898238747553816
xinwang,54,0.8985183114341627,0.8523627867438415,0.8658093374336036,0.8985183114341627
xinwang,55,0.898238747553816,0.8515586273760658,0.8315935789123179,0.898238747553816
xinwang,56,0.8987978753145094,0.8530293481633966,0.8714871317975675,0.8987978753145094
xinwang,57,0.8979591836734694,0.8520012173545464,0.8479123340265556,0.8979591836734694
xinwang,58,0.898238747553816,0.8513619189591226,0.8315767153264402,0.898238747553816
xinwang,59,0.898238747553816,0.8519264644991116,0.8482883707303905,0.898238747553816
xinwang,60,0.898238747553816,0.8534022105071333,0.8501854937060224,0.898238747553816
xinwang,61,0.8979591836734694,0.8523297513896966,0.8344567249915834,0.8979591836734694
xinwang,62,0.898238747553816,0.853200094654875,0.8436584469076276,0.898238747553816
xinwang,63,0.8979591836734694,0.8523297513896966,0.8394837583277418,0.8979591836734694
xinwang,64,0.898238747553816,0.8535994380600628,0.8510204081632653,0.898238747553816
xinwang,65,0.898238747553816,0.8518624942415487,0.8343041619038969,0.898238747553816
xinwang,66,0.898238747553816,0.8536870989854258,0.8450995001851166,0.898238747553816
xinwang,67,0.8985183114341627,0.8527922356476696,0.9088197244513324,0.8985183114341627
xinwang,68,0.897400055912776,0.8513724466346297,0.8310070714233095,0.897400055912776
xinwang,69,0.898238747553816,0.8556059945182304,0.8581139367171595,0.898238747553816
xinwang,70,0.898238747553816,0.8517105534366177,0.8455434627053247,0.898238747553816
xinwang,71,0.897400055912776,0.8527922356476696,0.844562539543294,0.897400055912776
xinwang,72,0.898238747553816,0.8518523036387368,0.857913593256059,0.898238747553816
xinwang,73,0.898238747553816,0.8526360582402873,0.8583145045898659,0.898238747553816
xinwang,74,0.8979591836734694,0.8529424511361041,0.8479123340265556,0.8979591836734694
xinwang,75,0.8976796197931227,0.8527892436865707,0.836707254176973,0.8976796197931227
xinwang,76,0.898238747553816,0.8523585996393709,0.8418052814662605,0.898238747553816
xinwang,77,0.8979591836734694,0.8514067156226386,0.8409278652703387,0.8979591836734694
xinwang,78,0.898238747553816,0.8506276272624227,0.857913593256059,0.898238747553816
xinwang,79,0.898238747553816,0.8502382079247663,0.8283914122678768,0.898238747553816
xinwang,80,0.8985183114341627,0.8529392128672245,0.9088197244513324,0.8985183114341627
xinwang,81,0.898238747553816,0.8516355331222366,0.857913593256059,0.898238747553816
xinwang,82,0.8979591836734694,0.8529424511361041,0.8375402356513563,0.8979591836734694
xinwang,83,0.898238747553816,0.8518624942415487,0.8581139367171595,0.898238747553816
xinwang,84,0.898238747553816,0.8511198153706204,0.8328714366498119,0.898238747553816
xinwang,85,0.8985183114341627,0.8524849804455721,0.8750996086470708,0.8985183114341627
xinwang,86,0.898238747553816,0.8511990559309939,0.834592950961314,0.898238747553816
xinwang,87,0.8979591836734694,0.8521664218545003,0.8343791748114049,0.8979591836734694
xinwang,88,0.8979591836734694,0.8510061331317433,0.8409278652703387,0.8979591836734694
xinwang,89,0.8979591836734694,0.8510535411292345,0.8328714366498119,0.8979591836734694
xinwang,90,0.8979591836734694,0.8518426595550816,0.8334751130971931,0.8979591836734694
xinwang,91,0.8985183114341627,0.8517173803419745,0.9088197244513324,0.8985183114341627
xinwang,92,0.898238747553816,0.8504507852550756,0.8297193921080522,0.898238747553816
xinwang,93,0.8976796197931227,0.8529424511361041,0.8383624362974362,0.8976796197931227
xinwang,94,0.898238747553816,0.8518669174303448,0.857913593256059,0.898238747553816
xinwang,95,0.898238747553816,0.853230699239621,0.8581139367171595,0.898238747553816
xinwang,96,0.898238747553816,0.8512667282367914,0.833021846616495,0.898238747553816
xinwang,97,0.8976796197931227,0.8529265303385002,0.844562539543294,0.8976796197931227
xinwang,98,0.8976796197931227,0.8537088360281891,0.8425125575833681,0.8976796197931227
xinwang,99,0.8987978753145094,0.8530786053520218,0.9090454750728724,0.8987978753145094
xinwang,100,0.898238747553816,0.8519484005622598,0.833021846616495,0.898238747553816
