dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,5,1,0.0,4,0.7863333333333333,0.7423704769774352,0.748898500861322,0.7863333333333333,2025-10-09T21:07:37.736914
uci,5,1,0.0,5,0.7835,0.7375478111065227,0.7430369781148733,0.7835,2025-10-09T21:07:37.754710
uci,5,1,0.0,7,0.7868333333333334,0.747850378920384,0.7511043481523113,0.7868333333333334,2025-10-09T21:07:37.761823
uci,5,1,0.0,6,0.7866666666666666,0.7446780146772726,0.7499701328057647,0.7866666666666666,2025-10-09T21:07:37.762280
uci,5,1,0.0,8,0.7848333333333334,0.7411285410307418,0.7461916545439852,0.7848333333333334,2025-10-09T21:07:37.803478
uci,5,1,0.1,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:37.806963
uci,5,1,0.1,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:37.813112
uci,5,1,0.1,6,0.7825,0.7341136521831528,0.7403418087305523,0.7825,2025-10-09T21:07:37.818178
uci,5,1,0.2,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:37.850050
uci,5,1,0.1,7,0.7831666666666667,0.736300611670781,0.7421189839236049,0.7831666666666667,2025-10-09T21:07:37.864846
uci,5,1,0.2,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:37.868181
uci,5,1,0.1,8,0.7835,0.7358531696778876,0.7425482499509103,0.7835,2025-10-09T21:07:37.874114
uci,5,1,0.2,6,0.7825,0.7341136521831528,0.7403418087305523,0.7825,2025-10-09T21:07:37.905985
uci,5,1,0.3,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:37.915719
uci,5,1,0.2,7,0.7831666666666667,0.736300611670781,0.7421189839236049,0.7831666666666667,2025-10-09T21:07:37.925040
uci,5,1,0.2,8,0.7835,0.7358531696778876,0.7425482499509103,0.7835,2025-10-09T21:07:37.930859
uci,5,1,0.3,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:37.954371
uci,5,1,0.3,6,0.7825,0.7341136521831528,0.7403418087305523,0.7825,2025-10-09T21:07:37.966208
uci,5,1,0.3,7,0.7831666666666667,0.736300611670781,0.7421189839236049,0.7831666666666667,2025-10-09T21:07:37.977964
uci,5,1,0.3,8,0.7835,0.7358531696778876,0.7425482499509103,0.7835,2025-10-09T21:07:37.985347
uci,5,1,0.4,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:37.996064
uci,5,1,0.4,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:38.017418
uci,5,1,0.4,6,0.7825,0.7341136521831528,0.7403418087305523,0.7825,2025-10-09T21:07:38.029921
uci,5,1,0.4,7,0.7831666666666667,0.736300611670781,0.7421189839236049,0.7831666666666667,2025-10-09T21:07:38.041852
uci,5,1,0.4,8,0.7835,0.7358531696778876,0.7425482499509103,0.7835,2025-10-09T21:07:38.048977
uci,5,1,0.5,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:38.059472
uci,5,1,0.5,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:38.075396
uci,5,1,0.5,6,0.7825,0.7341136521831528,0.7403418087305523,0.7825,2025-10-09T21:07:38.091064
uci,5,1,0.5,7,0.7831666666666667,0.736300611670781,0.7421189839236049,0.7831666666666667,2025-10-09T21:07:38.102591
uci,5,1,0.5,8,0.7835,0.7358531696778876,0.7425482499509103,0.7835,2025-10-09T21:07:38.112773
uci,5,1,0.6,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:38.116847
uci,5,1,0.6,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:38.140840
uci,5,1,0.6,6,0.7825,0.7341136521831528,0.7403418087305523,0.7825,2025-10-09T21:07:38.155737
uci,5,1,0.6,7,0.7831666666666667,0.736300611670781,0.7421189839236049,0.7831666666666667,2025-10-09T21:07:38.167402
uci,5,1,0.6,8,0.7835,0.7358531696778876,0.7425482499509103,0.7835,2025-10-09T21:07:38.174075
uci,5,1,0.7,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:38.183668
uci,5,1,0.7,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:38.208578
uci,5,1,0.7,6,0.7825,0.7341136521831528,0.7403418087305523,0.7825,2025-10-09T21:07:38.219389
uci,5,1,0.7,7,0.7831666666666667,0.736300611670781,0.7421189839236049,0.7831666666666667,2025-10-09T21:07:38.228872
uci,5,1,0.7,8,0.7835,0.7358531696778876,0.7425482499509103,0.7835,2025-10-09T21:07:38.238125
uci,5,1,0.8,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:38.254681
uci,5,1,0.8,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:38.270561
uci,5,1,0.8,6,0.7825,0.7341136521831528,0.7403418087305523,0.7825,2025-10-09T21:07:38.278415
uci,5,1,0.8,7,0.7831666666666667,0.736300611670781,0.7421189839236049,0.7831666666666667,2025-10-09T21:07:38.286604
uci,5,1,0.8,8,0.7835,0.7358531696778876,0.7425482499509103,0.7835,2025-10-09T21:07:38.301320
uci,5,1,0.9,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-10-09T21:07:38.311689
uci,5,1,0.9,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-10-09T21:07:38.324291
